,language,variant,sentence_len,sentence_pos,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,10,0,3.89115,0.090442695,3.903731147349608
1,de,Approx,10,1,5.1343045,0.11375803,4.910079156267726
2,de,Approx,10,2,5.5526586,0.11658002,5.031883384599061
3,de,Approx,10,3,5.2211385,0.10928161,4.716865476022315
4,de,Approx,10,4,5.1531324,0.10820979,4.6706032920043565
5,de,Approx,10,5,5.158574,0.11309087,4.881282798982295
6,de,Approx,10,6,5.0513616,0.11259959,4.860077491187688
7,de,Approx,10,7,5.6678715,0.13349783,5.762097919595629
8,de,Approx,10,8,5.2016063,0.1219807,5.264989777305342
9,de,Approx,10,9,1.0493668,0.025419394,1.09716415695999
10,de,Approx,11,0,4.009329,0.09102909,3.982457583873637
11,de,Approx,11,1,5.2654953,0.11669468,5.105308711830941
12,de,Approx,11,2,5.689259,0.110952154,4.854077301624391
13,de,Approx,11,3,5.1710963,0.10992143,4.808984024575072
14,de,Approx,11,4,5.1269565,0.1173107,5.132259589428114
15,de,Approx,11,5,5.180931,0.11461454,5.014304253166837
16,de,Approx,11,6,5.2555385,0.1178243,5.154729124072276
17,de,Approx,11,7,5.3343344,0.12014999,5.256476588509667
18,de,Approx,11,8,5.4977508,0.12622547,5.522273792039784
19,de,Approx,11,9,5.0726867,0.1265842,5.537968763169915
20,de,Approx,11,10,0.95961493,0.024041587,1.0518022604560948
21,de,Approx,12,0,3.9416914,0.08581239,3.8481858172186874
22,de,Approx,12,1,5.1820107,0.106462434,4.774219848193465
23,de,Approx,12,2,5.219566,0.10332486,4.633518460175828
24,de,Approx,12,3,5.2892394,0.115958415,5.200059354200181
25,de,Approx,12,4,5.1131077,0.109955356,4.930857054669479
26,de,Approx,12,5,5.3798833,0.112597905,5.049360257643679
27,de,Approx,12,6,5.2607856,0.110703774,4.964419605882864
28,de,Approx,12,7,5.130451,0.10990436,4.9285702644141365
29,de,Approx,12,8,5.4830647,0.12028515,5.394088274739588
30,de,Approx,12,9,5.5550933,0.124691635,5.591693699150141
31,de,Approx,12,10,5.2848206,0.12646402,5.671174727608866
32,de,Approx,12,11,0.9546933,0.026556116,1.190887028086214
33,de,Approx,13,0,3.8663816,0.08125604,3.640234132214974
34,de,Approx,13,1,5.1549487,0.111859895,5.011273456653438
35,de,Approx,13,2,5.7418385,0.11961333,5.35862347994603
36,de,Approx,13,3,5.1435213,0.106527805,4.772398074087733
37,de,Approx,13,4,5.1150723,0.10840288,4.856400500905275
38,de,Approx,13,5,5.2354884,0.10677795,4.783605032625968
39,de,Approx,13,6,5.246742,0.111207716,4.982056236063567
40,de,Approx,13,7,5.1357574,0.10721066,4.802989501669692
41,de,Approx,13,8,5.0523143,0.10616572,4.756176827412082
42,de,Approx,13,9,5.4756656,0.11790476,5.282080919712126
43,de,Approx,13,10,5.6737585,0.12523687,5.610556343586668
44,de,Approx,13,11,5.2223864,0.123662926,5.540043597798948
45,de,Approx,13,12,0.9632331,0.023928603,1.0719907412026946
46,de,Approx,14,0,3.876743,0.082135744,3.650192385092273
47,de,Approx,14,1,5.2872534,0.11243235,4.996602927554534
48,de,Approx,14,2,5.3625283,0.10512549,4.671878624767136
49,de,Approx,14,3,5.050686,0.103823416,4.614013548744179
50,de,Approx,14,4,5.063501,0.10664481,4.739399107590257
51,de,Approx,14,5,5.125499,0.10412341,4.627345896211125
52,de,Approx,14,6,5.2291064,0.111266166,4.944776858928585
53,de,Approx,14,7,5.150883,0.10627899,4.723141627150664
54,de,Approx,14,8,5.133417,0.1053471,4.681727194867239
55,de,Approx,14,9,5.3683586,0.11714931,5.206229399895007
56,de,Approx,14,10,5.3380337,0.10973005,4.876509983983115
57,de,Approx,14,11,5.3729806,0.11526812,5.122627296160464
58,de,Approx,14,12,5.184908,0.12210986,5.426681339596406
59,de,Approx,14,13,0.85769826,0.022581976,1.003565013419402
