,language,variant,delta_surpmean,delta_surpsem,delta_surpstd
0,de,Approx,4.623869,0.010740945,2.0649450483591125
1,de,Efficient-OV,5.4243236,0.010446675,2.00837164738843
2,de,Efficient-VO,5.0252843,0.010766711,2.069898389975772
3,de,Min-DL-Opt,5.1152797,0.011093849,2.132790882279185
4,de,Min-DL-Loc,5.0750504,0.010568749,2.0318402708712853
5,de,Random-1,5.1586056,0.010166069,1.9544250232988416
6,de,Random-2,5.334635,0.0104208235,2.003347371050731
7,de,Random-3,4.568197,0.010171054,1.955383402017769
8,de,Random-4,5.1815004,0.010306561,1.981434827420504
9,de,Random-5,4.5549083,0.010168139,1.9548229796968972
10,de,Real,4.6448045,0.010551109,2.0284490914091964
11,de,Reverse,5.1312227,0.010409947,2.001310553663988
12,de,Sort-Freq,3.739158,0.009562412,1.8382976737385095
13,de,Sort-Freq-Rev,3.4761374,0.0077719083,1.4940874253047085
14,en,Approx,4.4066,0.01154898,1.877446449775844
15,en,Efficient-OV,4.6876955,0.011269399,1.8319621291881116
16,en,Efficient-VO,4.3059654,0.011704207,1.9026449076992549
17,en,Min-DL-Opt,4.6026306,0.011774873,1.9141324125262864
18,en,Min-DL-Loc,4.600833,0.011544597,1.8766985197658952
19,en,Random-1,4.653361,0.011246186,1.828223061874484
20,en,Random-2,4.6452017,0.011245641,1.8281345199473036
21,en,Random-3,4.1828713,0.011507662,1.870694258758112
22,en,Random-4,4.629604,0.011673753,1.897694272271811
23,en,Random-5,4.256957,0.011413252,1.855382077182477
24,en,Real,4.3845925,0.011576096,1.881854453639778
25,en,Reverse,4.525364,0.011673466,1.897647422024053
26,en,Sort-Freq,3.1375394,0.011357731,1.846321594549976
27,en,Sort-Freq-Rev,2.9707818,0.009286669,1.5096480291905152
28,fa,Approx,4.307517,0.0111142285,1.8377502610246388
29,fa,Efficient-OV,4.3324127,0.011610878,1.9198720227253692
30,fa,Efficient-VO,4.314388,0.01160119,1.9183049261256453
31,fa,Min-DL-Opt,4.402437,0.011377907,1.8814187386480992
32,fa,Min-DL-Loc,4.5176115,0.0114907315,1.900075086391696
33,fa,Random-1,4.600595,0.011554284,1.9105840530626916
34,fa,Random-2,4.6323476,0.011508151,1.9029207259200809
35,fa,Random-3,4.3344064,0.011281395,1.8654257226695723
36,fa,Random-4,4.5199547,0.01134776,1.876399326877344
37,fa,Random-5,4.269917,0.011050386,1.827260834667002
38,fa,Real,4.198863,0.010980579,1.815651295163129
39,fa,Reverse,4.470102,0.011557941,1.911118825153455
40,fa,Sort-Freq,3.127094,0.010671821,1.7654044656091628
41,fa,Sort-Freq-Rev,2.9457312,0.008958476,1.4819712016803903
