,language,variant,sentence_len,sentence_pos,delta_surpmean,delta_surpsem,delta_surpstd
0,de,Approx,10,0,2.8868654,0.07586501,3.144510666059774
1,de,Approx,10,1,3.8126473,0.09832975,4.244156085392601
2,de,Approx,10,2,4.5354137,0.110872775,4.7855444478965055
3,de,Approx,10,3,4.5825157,0.11095275,4.788995920131783
4,de,Approx,10,4,4.4179187,0.1046548,4.5171608416848
5,de,Approx,10,5,4.5399795,0.10709843,4.622634287535752
6,de,Approx,10,6,4.571055,0.11037754,4.764168517461981
7,de,Approx,10,7,4.997752,0.11771373,5.080816510816395
8,de,Approx,10,8,5.0766273,0.12098734,5.222114437746986
9,de,Approx,10,9,4.394194,0.11197839,4.833265395339413
10,de,Approx,11,0,3.052673,0.07890673,3.333750981021532
11,de,Approx,11,1,3.9405015,0.103703246,4.53694294027998
12,de,Approx,11,2,4.7520046,0.10971356,4.7998900072503
13,de,Approx,11,3,4.5469003,0.10929008,4.781363059952711
14,de,Approx,11,4,4.572045,0.109108664,4.773426194424971
15,de,Approx,11,5,4.729648,0.118988484,5.205661539811815
16,de,Approx,11,6,4.7445793,0.113618515,4.9707286049706605
17,de,Approx,11,7,4.752863,0.11261944,4.927020107858494
18,de,Approx,11,8,4.929498,0.117153294,5.125373103301833
19,de,Approx,11,9,5.114647,0.12213041,5.343118034674935
20,de,Approx,11,10,4.3616614,0.117766164,5.152185130655188
21,de,Approx,12,0,3.0166624,0.07876411,3.3960029816360766
22,de,Approx,12,1,3.7614734,0.0932387,4.181212518276799
23,de,Approx,12,2,4.3756857,0.10224687,4.5851762038089
24,de,Approx,12,3,4.551474,0.11016431,4.94022747506505
25,de,Approx,12,4,4.561975,0.11181988,5.014470305006318
26,de,Approx,12,5,4.658235,0.107359044,4.814427991413605
27,de,Approx,12,6,4.6610055,0.10770276,4.829841617096744
28,de,Approx,12,7,4.7129564,0.10931629,4.902199099741386
29,de,Approx,12,8,4.802257,0.11535413,5.172960907778324
30,de,Approx,12,9,5.1060834,0.12051246,5.404281854887997
31,de,Approx,12,10,5.074227,0.11900442,5.336654958170962
32,de,Approx,12,11,4.556594,0.11785214,5.284982115366207
33,de,Approx,13,0,2.9559412,0.07298416,3.131522086818274
34,de,Approx,13,1,3.7350957,0.09282858,4.158679075940938
35,de,Approx,13,2,4.728159,0.113793716,5.09790770008898
36,de,Approx,13,3,4.645872,0.11440727,5.125394803731701
37,de,Approx,13,4,4.4873905,0.105753094,4.737691389485187
38,de,Approx,13,5,4.450911,0.102371655,4.586204194405445
39,de,Approx,13,6,4.5682573,0.1014107,4.543154189332139
40,de,Approx,13,7,4.4254017,0.10229817,4.582912523171058
41,de,Approx,13,8,4.360864,0.10023497,4.490482241925863
42,de,Approx,13,9,4.6319256,0.10594044,4.746084288357489
43,de,Approx,13,10,5.2182384,0.118432574,5.305726609281743
44,de,Approx,13,11,4.985235,0.11781173,5.277913363704585
45,de,Approx,13,12,4.4844675,0.11608972,5.200767597684373
46,de,Approx,14,0,2.8952565,0.06981963,2.97369321803384
47,de,Approx,14,1,3.9272542,0.0932907,4.145929399258182
48,de,Approx,14,2,4.502804,0.10391981,4.618297758246223
49,de,Approx,14,3,4.3614173,0.10089996,4.484092153932481
50,de,Approx,14,4,4.348219,0.10085997,4.482314943021857
51,de,Approx,14,5,4.3202085,0.097862236,4.349093026387747
52,de,Approx,14,6,4.4138045,0.104104355,4.626498762822273
53,de,Approx,14,7,4.5466285,0.10704017,4.756969120206827
54,de,Approx,14,8,4.409734,0.09690088,4.306369114289257
55,de,Approx,14,9,4.5701103,0.1081545,4.806491001073102
56,de,Approx,14,10,4.8372507,0.114171945,5.073912293223216
57,de,Approx,14,11,4.8691964,0.108507976,4.82220004571841
58,de,Approx,14,12,4.859626,0.11057452,4.914039347396148
59,de,Approx,14,13,4.5112867,0.11457331,5.091749405008022
60,de,Approx,15,0,2.9395063,0.08006699,3.3931780029190333
61,de,Approx,15,1,3.939866,0.09989327,4.389624491709415
62,de,Approx,15,2,4.677993,0.11345589,4.985608820415481
63,de,Approx,15,3,4.5727396,0.11182767,4.914059775841698
64,de,Approx,15,4,4.3961797,0.10120178,4.447124416352435
65,de,Approx,15,5,4.343624,0.10791718,4.742220108680035
66,de,Approx,15,6,4.681951,0.116962776,5.139712555771385
67,de,Approx,15,7,4.820993,0.12120462,5.32611212695391
68,de,Approx,15,8,4.7390485,0.110769644,4.867566430868812
69,de,Approx,15,9,4.966245,0.11790968,5.181322093000508
70,de,Approx,15,10,4.8742213,0.1133326,4.980190992747377
71,de,Approx,15,11,4.8015237,0.11097986,4.876804032101233
72,de,Approx,15,12,5.0140324,0.11563576,5.081399161386669
73,de,Approx,15,13,5.1700296,0.12093353,5.314199979583676
74,de,Approx,15,14,4.6914325,0.11720201,5.150224651848231
75,de,Approx,16,0,2.9392068,0.07832847,3.1817174151823173
76,de,Approx,16,1,3.8156164,0.091072395,3.843427791929968
77,de,Approx,16,2,4.445186,0.108262174,4.568869150901544
78,de,Approx,16,3,4.2328506,0.10242703,4.322614479374811
79,de,Approx,16,4,4.5780826,0.11172863,4.715159740246802
80,de,Approx,16,5,4.728306,0.11689531,4.933203824023489
81,de,Approx,16,6,4.505924,0.10666086,4.501290418354272
82,de,Approx,16,7,4.578123,0.10771628,4.545831322577556
83,de,Approx,16,8,4.5132732,0.10555193,4.4544916899302125
84,de,Approx,16,9,4.5968137,0.108830966,4.592873381109367
85,de,Approx,16,10,4.773479,0.11234539,4.741188481402821
86,de,Approx,16,11,4.6421056,0.112111054,4.731298774412684
87,de,Approx,16,12,4.8142576,0.11103484,4.685880573018787
88,de,Approx,16,13,4.9505305,0.1169363,4.934933729362033
89,de,Approx,16,14,5.1390934,0.12840559,5.41895887981436
