,language,variant,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,41.21411,0.73322433,38.30351700906832
1,de,Efficient-OV,44.592484,0.72126645,37.67883819978624
2,de,Efficient-VO,42.225796,0.7059925,36.88093359575316
3,de,Min-DL-Opt,42.237446,0.7441507,38.87430618326048
4,de,Min-DL-Loc,42.48483,0.70393914,36.773663486320366
5,de,Random-1,44.16776,0.6987732,36.50379422167109
6,de,Random-2,44.65973,0.72156,37.6941697382044
7,de,Random-3,42.602097,0.76670265,40.05241670974974
8,de,Random-4,45.263313,0.72408366,37.82600926134419
9,de,Random-5,42.00436,0.75647855,39.51831032920693
10,de,Real,40.64138,0.71485895,37.344110910637866
11,de,Reverse,44.45035,0.7415815,38.74009152429793
12,de,Sort-Freq,38.373383,0.72737545,37.99797288636969
13,de,Sort-Freq-Rev,42.91443,0.70770615,36.97045067533918
14,en,Approx,33.194115,0.99816304,46.17515595258768
15,en,Efficient-OV,34.073837,0.8961467,41.45586542014661
16,en,Efficient-VO,33.365925,1.0263882,47.4808566276038
17,en,Min-DL-Opt,33.96739,1.1272385,52.14620251791121
18,en,Min-DL-Loc,33.76551,0.9936004,45.96408845220978
19,en,Random-1,33.70534,0.9634002,44.567019567596624
20,en,Random-2,34.68235,0.9454659,43.737379174872885
21,en,Random-3,33.679985,1.0727626,49.62613533857439
22,en,Random-4,34.205666,0.938036,43.393674561133786
23,en,Random-5,31.760315,0.9498956,43.94229906018922
24,en,Real,34.11121,1.0367388,47.95967127718842
25,en,Reverse,34.210777,0.9501201,43.95268018847391
26,en,Sort-Freq,28.655676,0.8149238,37.698485431502455
27,en,Sort-Freq-Rev,32.67916,0.94410485,43.67441818037022
28,fa,Approx,28.369957,0.56152105,39.01258368021971
29,fa,Efficient-OV,27.773146,0.55321944,38.42386661932896
30,fa,Efficient-VO,27.555172,0.5488918,38.12724437706114
31,fa,Min-DL-Opt,28.540403,0.5365096,37.27486950688353
32,fa,Min-DL-Loc,28.53822,0.59204876,41.12502524642265
33,fa,Random-1,29.630938,0.5608593,38.97871432176418
34,fa,Random-2,29.545715,0.5930695,41.22579450951167
