,language,variant,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,55.656174,0.16801889,32.30160520813435
1,de,Efficient-OV,58.035137,0.1711867,32.91061325991745
2,de,Efficient-VO,57.07932,0.17123283,32.919484415181564
3,de,Min-DL-Opt,56.46155,0.17031462,32.742955253435305
4,de,Min-DL-Loc,59.681683,0.17596267,33.82879804396641
5,de,Random-1,59.11402,0.17489204,33.62296447106284
6,de,Random-2,58.38306,0.17313004,33.28332160328035
7,de,Random-3,58.600086,0.17426617,33.50264405589363
8,de,Random-4,59.009968,0.1747617,33.597908511769475
9,de,Random-5,57.929844,0.174336,33.51606885801227
10,de,Real,53.70632,0.16269258,31.27762283458248
11,de,Reverse,55.27856,0.16523407,31.76622410618143
12,de,Sort-Freq,54.86373,0.14820004,28.490275397198378
13,de,Sort-Freq-Rev,55.276726,0.14900218,28.64448224777224
14,en,Approx,60.43155,0.19889842,32.33368987937669
15,en,Efficient-OV,63.35506,0.20503722,33.33100331978568
16,en,Efficient-VO,61.396324,0.20192702,32.82540840941534
17,en,Min-DL-Opt,61.91901,0.20318605,33.030078288533865
18,en,Min-DL-Loc,65.47858,0.21001586,34.14034111244595
19,en,Random-1,65.6416,0.21105471,34.30986627108416
20,en,Random-2,64.73189,0.20828927,33.860302967635896
21,en,Random-3,65.176,0.21031351,34.188723832678726
22,en,Random-4,65.659,0.2113526,34.357639136348325
23,en,Random-5,65.05079,0.2107123,34.25419790739841
24,en,Real,57.394775,0.19156495,31.141532260467034
25,en,Reverse,58.19514,0.19284172,31.348498142547072
26,en,Sort-Freq,54.86355,0.15858375,25.77949280511101
27,en,Sort-Freq-Rev,55.41875,0.16029088,26.057007014506876
28,fa,Approx,64.11454,0.236794,39.15773500813833
29,fa,Efficient-OV,64.948135,0.2399416,39.68041964458248
30,fa,Efficient-VO,65.35758,0.23946224,39.60114561355397
31,fa,Min-DL-Opt,66.51969,0.24536179,40.57604655585793
32,fa,Min-DL-Loc,68.898415,0.2507689,41.47174776861264
33,fa,Random-1,68.12909,0.24893107,41.16404879861378
34,fa,Random-2,67.74432,0.24758196,40.938707703505045
35,fa,Random-3,68.13581,0.24726947,40.887034149059055
36,fa,Random-4,67.690475,0.24767286,40.95598437878398
37,fa,Random-5,68.126945,0.24962881,41.27792189996838
38,fa,Real,60.841587,0.22584057,37.34299567455034
39,fa,Reverse,61.956856,0.23057486,38.131394369326166
40,fa,Sort-Freq,58.172867,0.18816595,31.1299531702139
41,fa,Sort-Freq-Rev,58.926167,0.18976693,31.392520667640955
42,fr,Approx,59.24146,0.21415308,34.040234683224035
43,fr,Efficient-OV,62.727215,0.22217415,35.31520592851815
44,fr,Efficient-VO,61.39251,0.21832341,34.70311978314471
45,fr,Min-DL-Opt,60.420483,0.2168298,34.46571256346129
46,fr,Min-DL-Loc,64.8821,0.22687292,36.06209081490192
47,fr,Random-1,65.80456,0.23192167,36.8646047433902
48,fr,Random-2,64.37301,0.22707601,36.09436978397651
49,fr,Random-3,64.69832,0.2300343,36.56460339502436
50,fr,Random-4,65.627335,0.23051803,36.64148992828412
51,fr,Random-5,64.63164,0.23025152,36.59913008641957
52,fr,Real,55.327484,0.20268738,32.21773104034456
53,fr,Reverse,57.49004,0.20688042,32.88422554857056
54,fr,Sort-Freq,56.12141,0.17770858,28.24728040388768
55,fr,Sort-Freq-Rev,56.918972,0.18009394,28.62644199940096
56,hi,Approx,58.816746,0.26485166,40.18682028858281
57,hi,Efficient-OV,59.908283,0.26613757,40.36175921260243
58,hi,Efficient-VO,59.54265,0.26624256,40.38909445474141
59,hi,Min-DL-Opt,58.816746,0.26485166,40.1868203297751
60,hi,Min-DL-Loc,62.684605,0.27696094,42.02511670940714
61,hi,Random-1,61.46167,0.2764155,41.92048710526259
62,hi,Random-2,60.511353,0.27226463,41.30982174011222
63,hi,Random-3,61.097206,0.27553686,41.80357957356422
64,hi,Random-4,61.84945,0.27610475,41.8942902755604
65,hi,Random-5,61.64922,0.27641043,41.93338359853964
66,hi,Real,55.878826,0.25571585,38.809042323749104
67,hi,Reverse,55.55094,0.25642604,38.91513515997326
68,hi,Sort-Freq,53.079937,0.21272607,32.28043620652532
69,hi,Sort-Freq-Rev,53.7625,0.21666291,32.87355378403444
70,hu,Approx,52.4971,0.1598627,34.210989689463204
71,hu,Efficient-OV,54.286114,0.16365398,35.02233407538077
72,hu,Efficient-VO,54.734158,0.16452977,35.2097544400326
73,hu,Min-DL-Opt,54.72929,0.16521408,35.355811391835445
74,hu,Min-DL-Loc,56.52172,0.16791856,35.93496364591794
75,hu,Random-1,55.96909,0.16743703,35.83191368330049
76,hu,Random-2,54.69606,0.16476198,35.25944624812011
77,hu,Random-3,55.476624,0.16681045,35.69782601820377
78,hu,Random-4,55.873962,0.1668197,35.69980607178293
79,hu,Random-5,55.56304,0.1667467,35.68418204370485
80,hu,Real,49.710518,0.15267015,32.67176537757467
81,hu,Reverse,50.195034,0.1545942,33.083520527578735
82,hu,Sort-Freq,50.42996,0.14376445,30.766264468756997
83,hu,Sort-Freq-Rev,50.772648,0.14518014,31.06922778559153
84,id,Approx,55.544365,0.172973,32.12784450199796
85,id,Efficient-OV,57.54903,0.17760378,32.98795898300701
86,id,Efficient-VO,56.127216,0.17482074,32.47103914318198
87,id,Min-DL-Opt,55.642334,0.17330617,32.189722341464005
88,id,Min-DL-Loc,59.63916,0.1822698,33.854622604026154
89,id,Random-1,60.06429,0.18341635,34.067581951008265
90,id,Random-2,59.398575,0.18180515,33.76831601511431
91,id,Random-3,59.10278,0.18092798,33.6053938332365
92,id,Random-4,59.886215,0.18375129,34.12978845630132
93,id,Random-5,59.257477,0.18271603,33.93750552486535
