,language,variant,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,16.094505,0.040820155,7.847668265840356
1,de,Efficient-OV,16.86167,0.03929136,7.553757525099284
2,de,Efficient-VO,16.417572,0.040270265,7.741951512854779
3,de,Min-DL-Opt,16.355856,0.040668618,7.818535290805905
4,de,Min-DL-Loc,16.650871,0.039858617,7.662812841122636
5,de,Random-1,16.924559,0.03954259,7.602055801290225
6,de,Random-2,16.884598,0.039840825,7.659185210562283
7,de,Random-3,16.505783,0.040361583,7.759507646639005
8,de,Random-4,16.916195,0.039425638,7.579572562640116
9,de,Random-5,16.374567,0.040694468,7.823504400159211
10,de,Real,15.87179,0.040948626,7.8723665450099825
11,de,Reverse,16.6277,0.040102996,7.7097947042549055
12,de,Sort-Freq,15.928955,0.03926924,7.549198889770713
13,de,Sort-Freq-Rev,16.245462,0.038209476,7.345467341216727
14,en,Approx,15.260597,0.045470536,7.391864910578423
15,en,Efficient-OV,15.610141,0.044508193,7.235285572767732
16,en,Efficient-VO,15.367532,0.045959648,7.471234994256909
17,en,Min-DL-Opt,15.393351,0.045757353,7.438350139777265
18,en,Min-DL-Loc,15.697002,0.04538434,7.377712773095714
19,en,Random-1,15.743623,0.04477388,7.2786133043959556
20,en,Random-2,15.758949,0.04509054,7.3300918168661235
21,en,Random-3,15.648673,0.045438226,7.3864729771861
22,en,Random-4,15.811732,0.04534814,7.371828451948829
23,en,Random-5,15.514218,0.045095302,7.330865114538436
24,en,Real,15.081214,0.046052314,7.486440653023126
25,en,Reverse,15.3335495,0.045689974,7.427397284175073
26,en,Sort-Freq,14.45105,0.043969113,7.147652084701857
27,en,Sort-Freq-Rev,14.795403,0.0421387,6.8500991673808285
28,fa,Approx,15.698981,0.04628112,7.653336466721213
29,fa,Efficient-OV,15.722056,0.046799112,7.739418768633678
30,fa,Efficient-VO,15.71447,0.04607248,7.6192510174691455
31,fa,Min-DL-Opt,15.8241415,0.04641856,7.676344438181387
32,fa,Min-DL-Loc,15.995953,0.04631463,7.659437587176554
33,fa,Random-1,16.192469,0.04582136,7.57716851856375
