,language,variant,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,5.2168126,0.0061202366,4.994940706019419
1,de,Efficient-OV,5.3578615,0.0065767393,5.367510177158594
2,de,Efficient-VO,5.3161445,0.006342196,5.176090763948285
3,de,Min-DL-Opt,5.2586703,0.0063210353,5.158820788920076
4,de,Min-DL-Loc,5.6051416,0.0063049374,5.145682946870847
5,de,Random-1,5.4856877,0.0065680607,5.360426525362828
6,de,Random-2,5.406557,0.006560625,5.354357978581315
7,de,Random-3,5.52239,0.0061814683,5.044915442003288
8,de,Random-4,5.470442,0.006573839,5.365142387788194
9,de,Random-5,5.463878,0.006146705,5.01654334789011
10,de,Real,5.0061135,0.006086586,4.96747875802785
11,de,Reverse,5.074584,0.0065131932,5.315648170795111
12,de,Sort-Freq,5.131199,0.005905959,4.820062200362648
13,de,Sort-Freq-Rev,5.099225,0.0061843996,5.047307725692811
14,en,Approx,5.0168157,0.0060898983,4.540855798939927
15,en,Efficient-OV,5.2404523,0.0063110124,4.705718263845881
16,en,Efficient-VO,5.1148653,0.0060858307,4.537814367822041
17,en,Min-DL-Opt,5.1414385,0.0061743245,4.6037984503029055
18,en,Min-DL-Loc,5.4786735,0.0061587146,4.592159293938759
19,en,Random-1,5.4743237,0.0062589496,4.666926997434765
20,en,Random-2,5.382738,0.0062885312,4.688963224351187
21,en,Random-3,5.474809,0.006060179,4.518686742661427
22,en,Random-4,5.469042,0.00629701,4.695276959431114
23,en,Random-5,5.470147,0.0060139126,4.484197802805228
24,en,Real,4.726295,0.006093417,4.543478536938387
25,en,Reverse,4.769497,0.006239749,4.652581268115895
26,en,Sort-Freq,4.517285,0.0056224978,4.192336599556975
27,en,Sort-Freq-Rev,4.519736,0.0058437674,4.357323158939027
28,fa,Approx,4.981358,0.0058453195,4.626536310486717
29,fa,Efficient-OV,5.0711536,0.005812926,4.600897257083784
30,fa,Efficient-VO,5.107102,0.005785024,4.578813213347818
31,fa,Min-DL-Opt,5.1988654,0.005871482,4.647243947093911
32,fa,Min-DL-Loc,5.4096937,0.005862565,4.640186327160623
33,fa,Random-1,5.3069897,0.006018266,4.763422741098532
34,fa,Random-2,5.2768564,0.0059945504,4.744651577218527
35,fa,Random-3,5.3301344,0.005909623,4.67743228215467
36,fa,Random-4,5.2810535,0.005958371,4.716015736316199
37,fa,Random-5,5.3514304,0.005837795,4.62058030001435
38,fa,Real,4.6870103,0.0058146385,4.602253031122976
39,fa,Reverse,4.767771,0.0059332335,4.696120065684286
40,fa,Sort-Freq,4.4830136,0.0054475563,4.311708787265822
41,fa,Sort-Freq-Rev,4.4949174,0.0056553637,4.4761869944823545
42,fr,Approx,4.5901074,0.0058909673,4.4728581350636745
43,fr,Efficient-OV,4.790061,0.0063686436,4.835544763968491
44,fr,Efficient-VO,4.7176485,0.006124327,4.650042389175929
45,fr,Min-DL-Opt,4.634518,0.006124696,4.65032264616188
46,fr,Min-DL-Loc,5.0447063,0.006063955,4.604202546390572
47,fr,Random-1,5.054322,0.006459165,4.904275970314143
48,fr,Random-2,4.948066,0.006342838,4.815951889667997
49,fr,Random-3,5.064071,0.0059753177,4.53690321764293
50,fr,Random-4,5.0529847,0.006360494,4.82935845357808
51,fr,Random-5,5.0573654,0.0059885243,4.546930450991392
52,fr,Real,4.256482,0.0057606427,4.373906210053731
53,fr,Reverse,4.3245726,0.006301174,4.784317485384195
54,fr,Sort-Freq,4.3191924,0.005536031,4.20336373039195
55,fr,Sort-Freq-Rev,4.3130116,0.0058427635,4.436258197900395
56,hi,Approx,4.9303074,0.0072685694,5.014022576510163
57,hi,Efficient-OV,5.026901,0.007308711,5.041035092949345
58,hi,Efficient-VO,5.0544786,0.007080016,4.882373181346072
59,hi,Min-DL-Opt,4.9303074,0.0072685694,5.014022571617419
60,hi,Min-DL-Loc,5.33302,0.0072029117,4.968526702673207
61,hi,Random-1,5.202191,0.0072536306,5.002617928468534
62,hi,Random-2,5.1101427,0.007258611,5.00633200756307
63,hi,Random-3,5.1906676,0.007165078,4.942080771285999
64,hi,Random-4,5.247276,0.0072207204,4.98039687524126
65,hi,Random-5,5.2556214,0.0070888484,4.890098668842919
66,hi,Real,4.651976,0.007224475,4.983872376898372
67,hi,Reverse,4.659439,0.007114467,4.907466586116659
68,hi,Sort-Freq,4.4555783,0.0065175835,4.493881595403347
69,hi,Sort-Freq-Rev,4.458826,0.0068317344,4.708284382565749
70,hu,Approx,5.915609,0.006521241,5.335319042612295
71,hu,Efficient-OV,6.142132,0.006544077,5.3540023296284485
72,hu,Efficient-VO,6.162526,0.0066719623,5.458631409679997
73,hu,Min-DL-Opt,6.1900625,0.0065562273,5.363943742025649
74,hu,Min-DL-Loc,6.427105,0.006499974,5.317920597926371
75,hu,Random-1,6.3211365,0.006672731,5.459260204578614
76,hu,Random-2,6.150278,0.006709386,5.489249659771053
77,hu,Random-3,6.300059,0.0065335403,5.345382286816147
78,hu,Random-4,6.301626,0.0067089763,5.488914542773264
79,hu,Random-5,6.319511,0.0064895647,5.309404355909931
80,hu,Real,5.5577526,0.006481225,5.302580652940516
81,hu,Reverse,5.60055,0.006565459,5.371496544404486
82,hu,Sort-Freq,5.660636,0.006204338,5.076047354444042
83,hu,Sort-Freq-Rev,5.642514,0.006482179,5.303361975349787
84,id,Approx,5.1727223,0.005682398,4.535443786806903
85,id,Efficient-OV,5.3379765,0.0059088883,4.716218201542481
86,id,Efficient-VO,5.2263308,0.0057411576,4.582342902091509
87,id,Min-DL-Opt,5.18174,0.005701016,4.550303611738054
88,id,Min-DL-Loc,5.5864315,0.0057569547,4.594952273032567
89,id,Random-1,5.60899,0.0058738957,4.6882885466820765
90,id,Random-2,5.546195,0.005858292,4.675834936693465
91,id,Random-3,5.5353155,0.005744258,4.5848175056335725
92,id,Random-4,5.594784,0.0058534793,4.671993149256126
93,id,Random-5,5.559016,0.0057306304,4.573941053465266
94,id,Real,4.9512615,0.0057159998,4.562262870894514
95,id,Reverse,5.0334015,0.005919879,4.724990161397032
96,id,Sort-Freq,4.7246137,0.005327478,4.2521624531618505
97,id,Sort-Freq-Rev,4.721953,0.005544484,4.425366559786969
98,ru,Approx,5.4154143,0.00620954,5.043014123433112
99,ru,Efficient-OV,5.4453864,0.0062477444,5.074041243007447
100,ru,Efficient-VO,5.4196715,0.006240911,5.068491799279054
101,ru,Min-DL-Opt,5.4574847,0.0061168475,4.967735180215302
102,ru,Min-DL-Loc,5.7816935,0.0063111647,5.125547543824387
103,ru,Random-1,5.783463,0.0065464745,5.316653006828468
104,ru,Random-2,5.641354,0.006544637,5.315160486668174
105,ru,Random-3,5.7546606,0.0062653245,5.088319280090031
106,ru,Random-4,5.764154,0.0065398165,5.311244099319654
107,ru,Random-5,5.7124357,0.0062189563,5.050661445361571
108,ru,Real,5.1482186,0.0061198156,4.97014552521011
109,ru,Reverse,5.242504,0.00637843,5.1801766638257725
