,language,variant,surp_diff_squaredmean,surp_diff_squaredsem,surp_diff_squaredstd
0,de,Approx,25.14404,0.1418107,27.26308579346593
1,de,Efficient-OV,28.76894,0.13612291,26.169607119522976
2,de,Efficient-VO,26.782303,0.1377093,26.474590538532
3,de,Min-DL-Opt,26.57868,0.13999997,26.914970393117763
4,de,Min-DL-Loc,26.572273,0.13434377,25.827566392001486
5,de,Random-1,28.546593,0.13585933,26.118934165652192
6,de,Random-2,28.683249,0.13888,26.69893522353061
7,de,Random-3,25.7858,0.13859683,26.64521930833789
8,de,Random-4,28.80103,0.13780454,26.492901158584974
9,de,Random-5,25.448149,0.14045921,27.003261935462856
10,de,Real,24.76816,0.13920443,26.762028331612992
11,de,Reverse,28.150204,0.1413879,27.18179942680017
12,de,Sort-Freq,23.926876,0.14238289,27.37197682047506
13,de,Sort-Freq-Rev,25.939688,0.13405752,25.77149015857022
14,en,Approx,21.487406,0.18377131,29.874568626216025
15,en,Efficient-OV,22.901178,0.17884286,29.072831881321264
16,en,Efficient-VO,21.460295,0.18672031,30.35339509238208
17,en,Min-DL-Opt,22.01705,0.19160675,31.14773843914096
18,en,Min-DL-Loc,22.007927,0.18361978,29.84937242744937
19,en,Random-1,22.526337,0.1829149,29.73534722659725
20,en,Random-2,22.760815,0.18009204,29.276452061332098
21,en,Random-3,21.447588,0.18561731,30.174090864491724
22,en,Random-4,22.90126,0.18068023,29.371514178891328
23,en,Random-5,21.095396,0.17960796,29.19775893364743
24,en,Real,21.50582,0.1878483,30.53734180303912
25,en,Reverse,22.384363,0.18761343,30.49858078423383
26,en,Sort-Freq,19.11823,0.18285435,29.72494191218986
27,en,Sort-Freq-Rev,20.336048,0.17885002,29.07399707757481
28,fa,Approx,22.573593,0.20137714,33.30098474491527
29,fa,Efficient-OV,22.151112,0.20278192,33.53512525981388
30,fa,Efficient-VO,22.032782,0.20092136,33.227435053786266
31,fa,Min-DL-Opt,22.59971,0.20358779,33.66778113253571
32,fa,Min-DL-Loc,22.578653,0.2000537,33.08455081297333
33,fa,Random-1,23.588728,0.20054659,33.16303413917094
34,fa,Random-2,23.584969,0.2084288,34.46456988301647
35,fa,Random-3,23.1533,0.20425285,33.7740606512986
36,fa,Random-4,23.237484,0.19857922,32.837705415013865
37,fa,Random-5,22.48762,0.20147572,33.31546093830924
38,fa,Real,22.271639,0.19772966,32.69482129544742
39,fa,Reverse,22.8235,0.20025413,33.11709095927383
40,fa,Sort-Freq,20.142683,0.21219069,35.10457784177911
41,fa,Sort-Freq-Rev,21.545143,0.19835839,32.81377947776924
42,fr,Approx,20.656267,0.18282834,29.061081135671284
43,fr,Efficient-OV,23.771013,0.16839531,26.766911430158668
44,fr,Efficient-VO,22.125168,0.17437871,27.717986898826044
45,fr,Min-DL-Opt,22.148788,0.17850597,28.374030505275417
46,fr,Min-DL-Loc,21.705448,0.16435283,26.12434715675395
47,fr,Random-1,24.362356,0.16942455,26.93051040871524
48,fr,Random-2,23.619661,0.1689561,26.856048172649903
49,fr,Random-3,21.243921,0.17252415,27.423198800365988
50,fr,Random-4,23.80363,0.16872692,26.819620374947824
51,fr,Random-5,21.326176,0.17111707,27.19954127989884
52,fr,Real,19.85187,0.18597938,29.56194966718643
53,fr,Reverse,23.35676,0.17307732,27.511127740822264
54,fr,Sort-Freq,18.984554,0.18162456,28.86973745432616
55,fr,Sort-Freq-Rev,20.744568,0.15852861,25.198571124516977
56,hi,Approx,24.92873,0.21241282,32.23010209390865
57,hi,Efficient-OV,25.182457,0.21789597,33.04555682096908
58,hi,Efficient-VO,23.668974,0.21707384,32.93017970658841
59,hi,Min-DL-Opt,24.92873,0.21241282,32.23010252241321
60,hi,Min-DL-Loc,24.61993,0.21191247,32.15487991685247
61,hi,Random-1,24.695812,0.21212837,32.17085927331472
62,hi,Random-2,24.808996,0.21698716,32.922754778088795
63,hi,Random-3,24.251488,0.21941933,33.289607845982296
64,hi,Random-4,24.692772,0.21236771,32.22325993183014
65,hi,Random-5,23.758337,0.21699098,32.919039068633296
66,hi,Real,24.578205,0.21682027,32.906000250414536
67,hi,Reverse,23.824793,0.22285609,33.82056790563399
68,hi,Sort-Freq,20.53722,0.20741114,31.4739153140772
69,hi,Sort-Freq-Rev,22.379126,0.21020333,31.89346397410309
70,hu,Approx,28.883083,0.14562587,31.16427605715089
71,hu,Efficient-OV,28.959816,0.14550605,31.13863464070188
72,hu,Efficient-VO,29.9994,0.14393441,30.802300273738915
73,hu,Min-DL-Opt,28.86206,0.14344993,30.6982847670177
