,language,variant,surprisalmean,surprisalsem,surprisalstd
0,de,Approx,23.480053,0.13482937,25.920926465334443
1,de,Efficient-OV,27.475637,0.13005485,25.003022719566125
2,de,Efficient-VO,25.165659,0.1313828,25.25831969334832
3,de,Min-DL-Opt,24.934092,0.13279681,25.530163874359165
4,de,Min-DL-Loc,25.046646,0.12807682,24.622749004103124
5,de,Random-1,27.156906,0.13037309,25.064205424310803
6,de,Random-2,27.298258,0.13303982,25.57619080872181
7,de,Random-3,24.205717,0.13246879,25.467101454424945
8,de,Random-4,27.429707,0.13240854,25.455519597040016
9,de,Random-5,23.777622,0.13421012,25.801874358428943
10,de,Real,23.137865,0.1303516,25.0600747482761
11,de,Reverse,26.785429,0.13372853,25.709289039548384
12,de,Sort-Freq,22.944283,0.13587275,26.12045639873972
13,de,Sort-Freq-Rev,25.054195,0.12531003,24.089855153749053
14,en,Approx,20.200293,0.17098641,27.796206969913488
15,en,Efficient-OV,21.670835,0.1595629,25.93866513535411
16,en,Efficient-VO,20.099964,0.17023526,27.673574470083725
17,en,Min-DL-Opt,20.691254,0.17709501,28.78870131390018
18,en,Min-DL-Loc,20.729164,0.16727531,27.192402384207448
19,en,Random-1,21.313787,0.16502993,26.82789903538103
20,en,Random-2,21.510674,0.16391037,26.64589987682708
21,en,Random-3,20.235914,0.17703997,28.77975296066052
22,en,Random-4,21.68255,0.16175653,26.29526415907008
23,en,Random-5,19.811562,0.16602986,26.990449432897588
24,en,Real,20.225094,0.1717509,27.9204860208005
25,en,Reverse,21.172947,0.17352913,28.20902761757659
26,en,Sort-Freq,18.328688,0.16671577,27.10144040890017
27,en,Sort-Freq-Rev,19.433186,0.15480493,25.165205799149145
28,fa,Approx,20.986506,0.18751614,31.00600723978371
29,fa,Efficient-OV,20.435495,0.19024052,31.45648519623115
30,fa,Efficient-VO,20.35578,0.18643294,30.827463353741184
31,fa,Min-DL-Opt,20.865719,0.18940417,31.319342603108225
32,fa,Min-DL-Loc,20.853472,0.1879313,31.07578944544119
33,fa,Random-1,21.972618,0.19039352,31.48293824830059
34,fa,Random-2,21.907215,0.1964627,32.4859285351127
35,fa,Random-3,21.546162,0.1927102,31.86543362789613
36,fa,Random-4,21.606928,0.18836674,31.147223254951417
37,fa,Random-5,20.749287,0.1881421,31.110650732636262
38,fa,Real,20.751255,0.18237232,30.155470561854468
39,fa,Reverse,21.311428,0.1882308,31.12417630184034
40,fa,Sort-Freq,19.000978,0.1996754,33.03164643331215
41,fa,Sort-Freq-Rev,20.372084,0.1804537,29.85186229656022
42,fr,Approx,19.06888,0.16112554,25.61135900616853
43,fr,Efficient-OV,22.428535,0.1523812,24.221422070293496
44,fr,Efficient-VO,20.690996,0.15752116,25.03843268873574
45,fr,Min-DL-Opt,20.67346,0.16060497,25.52861154699348
46,fr,Min-DL-Loc,20.276175,0.1460532,23.215570208987074
47,fr,Random-1,22.988665,0.15393151,24.467849597319923
48,fr,Random-2,22.216612,0.15114121,24.02432056146911
49,fr,Random-3,19.743933,0.16013941,25.454611114216352
50,fr,Random-4,22.524843,0.15740727,25.020329768326388
51,fr,Random-5,19.804834,0.15849073,25.19254784452608
52,fr,Real,18.302874,0.16152899,25.675487977898623
53,fr,Reverse,22.100332,0.15279408,24.287050336219227
54,fr,Sort-Freq,18.03735,0.16822588,26.739980734041147
55,fr,Sort-Freq-Rev,19.706442,0.13500391,21.459253455361115
56,hi,Approx,22.870802,0.1910811,28.99273963077709
57,hi,Efficient-OV,23.083378,0.19629617,29.76914241730447
58,hi,Efficient-VO,21.412073,0.19513781,29.601833421544576
59,hi,Min-DL-Opt,22.870802,0.1910811,28.99274022065153
60,hi,Min-DL-Loc,22.31188,0.19094281,28.973013105664705
61,hi,Random-1,22.466898,0.19084245,28.942061589374337
62,hi,Random-2,22.624638,0.19565077,29.68480604718165
63,hi,Random-3,21.99702,0.19745332,29.9569932786058
64,hi,Random-4,22.448643,0.19159868,29.07190213740419
65,hi,Random-5,21.49796,0.19515614,29.60590125904961
66,hi,Real,22.624722,0.19294007,29.281796417880944
67,hi,Reverse,21.736267,0.19788891,30.031556767580625
68,hi,Sort-Freq,18.984835,0.18597364,28.22084987868964
69,hi,Sort-Freq-Rev,20.720026,0.18439056,27.976975431958028
70,hu,Approx,25.895182,0.14524457,31.08267473794266
71,hu,Efficient-OV,25.814623,0.14427856,30.87594966059673
72,hu,Efficient-VO,26.937227,0.14319323,30.64368464263937
73,hu,Min-DL-Opt,25.588245,0.14173017,30.330256986081235
74,hu,Min-DL-Loc,25.446133,0.13622285,29.15201002335002
75,hu,Random-1,26.73394,0.135327,28.96029281811334
76,hu,Random-2,27.26033,0.14241444,30.47702311823745
77,hu,Random-3,25.72001,0.13887249,29.719037683293465
78,hu,Random-4,27.361282,0.1412149,30.220320105391952
79,hu,Random-5,25.509638,0.140143,29.99093038503617
80,hu,Real,25.550768,0.14312069,30.628161278900023
81,hu,Reverse,25.71127,0.14155439,30.29297275015771
82,hu,Sort-Freq,24.431086,0.14402513,30.82205243226541
83,hu,Sort-Freq-Rev,26.057617,0.1305119,27.930157696276616
84,id,Approx,20.513681,0.22662583,42.09326794586617
85,id,Efficient-OV,22.304922,0.2571374,47.760457975900046
86,id,Efficient-VO,20.943949,0.24731429,45.93592390339562
87,id,Min-DL-Opt,20.602331,0.219465,40.7632236119321
88,id,Min-DL-Loc,21.305708,0.25109676,46.63847875494946
89,id,Random-1,22.003912,0.24049103,44.66858180539043
90,id,Random-2,21.982298,0.24558479,45.614688121355854
91,id,Random-3,21.224266,0.24329041,45.18853099038479
92,id,Random-4,22.020613,0.24725232,45.92374581651363
93,id,Random-5,21.047945,0.23249531,43.18346069871894
94,id,Real,20.760311,0.23351811,43.3728038988118
95,id,Reverse,22.357439,0.25120378,46.65767865425789
96,id,Sort-Freq,19.460476,0.27983224,51.97427316668705
97,id,Sort-Freq-Rev,20.29486,0.23300906,43.27763337911954
98,ru,Approx,23.635172,0.16387188,34.39865766175252
99,ru,Efficient-OV,23.952085,0.17069045,35.829954223584885
100,ru,Efficient-VO,23.813011,0.16764785,35.19127835866584
101,ru,Min-DL-Opt,22.81065,0.16346873,34.31402848567252
102,ru,Min-DL-Loc,24.499792,0.1621608,34.03947738918047
103,ru,Random-1,26.571657,0.16704975,35.0657258473801
104,ru,Random-2,26.582222,0.17000148,35.685328755970566
105,ru,Random-3,24.496222,0.17689471,37.132299869296105
106,ru,Random-4,26.58038,0.16952689,35.585710243314814
107,ru,Random-5,23.879366,0.1717112,36.044224093747786
108,ru,Real,23.061817,0.16102847,33.801792585168954
109,ru,Reverse,25.207376,0.17047986,35.78575085390313
110,ru,Sort-Freq,22.96644,0.18471801,38.774505500107125
111,ru,Sort-Freq-Rev,24.964912,0.15223046,31.95498159560133
112,tr,Approx,21.67138,0.13511007,30.15195501620623
113,tr,Efficient-OV,21.08873,0.13089798,29.211958958453824
114,tr,Efficient-VO,20.395267,0.13556655,30.253215557533014
115,tr,Min-DL-Opt,21.485537,0.13024691,29.06695552967616
116,tr,Min-DL-Loc,20.413454,0.13199171,29.455748341617905
117,tr,Random-1,21.4047,0.13951191,31.13429503183533
118,tr,Random-2,21.694609,0.13522004,30.174071379151663
119,tr,Random-3,21.069038,0.1362393,30.401213024819597
120,tr,Random-4,21.105812,0.1347542,30.07223385630366
121,tr,Random-5,20.590397,0.13303912,29.68740540610948
122,tr,Real,21.710142,0.13562019,30.26367079911767
123,tr,Reverse,20.708765,0.14332879,31.98384383145329
124,tr,Sort-Freq,19.380554,0.14186397,31.655062979420418
125,tr,Sort-Freq-Rev,20.72349,0.12173577,27.16372111488633
126,vi,Approx,17.653292,0.25453374,36.05405672494883
127,vi,Efficient-OV,18.301643,0.2626203,37.19949746171058
128,vi,Efficient-VO,17.706388,0.25380197,35.95129721271732
129,vi,Min-DL-Opt,17.087532,0.2481505,35.14813123784526
130,vi,Min-DL-Loc,17.987677,0.2698085,38.21863818861994
131,vi,Random-1,17.797264,0.26865038,38.05269315789524
132,vi,Random-2,17.45698,0.2619915,37.10857854256612
133,vi,Random-3,17.68789,0.26833424,38.009808069691765
134,vi,Random-4,17.834341,0.27671173,39.1964879217647
135,vi,Random-5,16.819283,0.2504103,35.46997934358982
136,vi,Real,17.449314,0.26468498,37.487275040089806
137,vi,Reverse,18.420902,0.28526238,40.40165485656234
138,vi,Sort-Freq,15.434141,0.2779676,39.36849494274179
139,vi,Sort-Freq-Rev,15.476486,0.23649341,33.49451506703062
